prob_0,prob_1,prob_2,prob_3,taxid,true,pred
0.09272182,0.022880977,0.53290814,0.3514891,3052325,respiratory,respiratory
0.11600154,0.2460865,0.09568272,0.54222924,59302,vector,vector
0.7879178,0.06136563,0.027797105,0.12291942,3052342,direct contact,direct contact
0.17202796,0.016926516,0.013493576,0.797552,3052464,vector,vector
0.9294291,0.056306474,0.00959676,0.004667699,138950,direct contact,direct contact
0.028076962,0.004311957,0.0031972954,0.96441376,693997,faecal-oral,vector
0.01516979,0.0063927677,0.005283037,0.97315437,11039,vector,vector
0.020173151,0.005950749,0.0040744618,0.96980166,3052389,vector,vector
0.004142155,0.0035305861,0.9889727,0.0033545156,3052477,respiratory,respiratory
0.004258412,0.0033831238,0.0030577972,0.98930067,60877,vector,vector
0.5514434,0.2020291,0.06642853,0.18009897,3049954,direct contact,direct contact
0.006438958,0.0022431924,0.0036747307,0.9876431,2169701,vector,vector
0.3826152,0.44061017,0.10199412,0.074780524,12092,faecal-oral,faecal-oral
0.47867736,0.1595594,0.16305603,0.19870724,1239570,faecal-oral,direct contact
0.002410974,0.0031446498,0.002408322,0.99203604,3052428,vector,vector
0.014211776,0.03298122,0.023134192,0.92967284,77763,vector,vector
0.37022647,0.023898799,0.026216682,0.57965803,3052556,direct contact,vector
0.61796767,0.12342094,0.057105154,0.20150624,3052560,direct contact,direct contact
0.42876276,0.23845938,0.041098922,0.29167897,3052610,direct contact,direct contact
0.007861823,0.012448537,0.002045923,0.97764367,3052466,vector,vector
0.005076346,0.0027627437,0.0017434354,0.9904174,3048360,vector,vector
0.024941003,0.0076022716,0.014696665,0.95276004,3052429,vector,vector
0.15881142,0.3132524,0.47586355,0.05207271,290028,respiratory,respiratory
0.005629497,0.0047024144,0.009389438,0.9802786,2083198,vector,vector
0.03952749,0.060718812,0.009535637,0.890218,3046277,vector,vector
0.9815626,0.004464923,0.003743038,0.0102293845,3052458,direct contact,direct contact
0.67854315,0.30298346,0.0074087363,0.01106465,194440,direct contact,direct contact
0.20705022,0.45457304,0.27419522,0.0641815,2003649,faecal-oral,faecal-oral
0.48789886,0.32441786,0.13611606,0.051567294,11137,respiratory,direct contact
