prob_direct contact,prob_faecal-oral,prob_respiratory,prob_vector,taxid,true,pred
0.0,0.0,1.0,0.0,3052489,respiratory,respiratory
0.0,0.0,0.0,1.0,3052456,vector,vector
1.0,0.0,0.0,0.0,147711,direct contact,direct contact
0.0,0.0,0.0,1.0,3048215,vector,vector
0.6705589157509424,0.0,0.0,0.32944108424905755,2955935,direct contact,direct contact
0.0,1.0,0.0,0.0,2003652,faecal-oral,faecal-oral
0.0,0.0,0.3343364940710645,0.6656635059289354,1933191,vector,vector
0.339205678015525,0.0,0.0,0.6607943219844751,3052387,vector,vector
0.0,0.0,1.0,0.0,3052303,respiratory,respiratory
0.6632988760184289,0.0,0.0,0.3367011239815712,3048287,vector,direct contact
0.7249060023246454,0.0,0.0,0.27509399767535464,338478,direct contact,direct contact
0.32456479702919866,0.0,0.0,0.6754352029708013,3047837,vector,vector
0.3215921509218777,0.0,0.3354314179692597,0.34297643110886267,693997,faecal-oral,vector
0.0,0.39232736218544156,0.0,0.6076726378145584,1239572,faecal-oral,vector
0.0,0.0,0.0,1.0,3048447,vector,vector
0.33335373945560004,0.0,0.0,0.6666462605443999,3052428,vector,vector
0.0,0.3272982958324522,0.33445399520388397,0.3382477089636638,694009,direct contact,vector
1.0,0.0,0.0,0.0,3049953,direct contact,direct contact
1.0,0.0,0.0,0.0,3051375,direct contact,direct contact
0.0,0.0,0.0,1.0,11029,vector,vector
0.0,0.0,0.0,1.0,3052463,vector,vector
0.0,0.0,0.0,1.0,3052390,vector,vector
0.0,0.0,1.0,0.0,3052499,respiratory,respiratory
0.0,0.0,0.0,1.0,11033,vector,vector
0.0,0.0,0.0,1.0,2083198,vector,vector
1.0,0.0,0.0,0.0,138951,direct contact,direct contact
1.0,0.0,0.0,0.0,3052460,direct contact,direct contact
0.6634254344281227,0.3365745655718773,0.0,0.0,11983,faecal-oral,direct contact
0.0,0.0,1.0,0.0,3052493,respiratory,respiratory
