prob_gastrointestinal,prob_neural,prob_other,prob_respiratory,prob_systemic,prob_viraemic,taxid,true,pred
0.206,0.074,0.062,0.392,0.176,0.09,1335626,3,3
0.056,0.072,0.076,0.108,0.106,0.582,3052413,5,5
0.196,0.082,0.08,0.092,0.12,0.43,138950,0,5
0.036,0.28,0.042,0.01,0.056,0.576,3052463,5,5
0.038,0.168,0.116,0.066,0.084,0.528,11318,1,5
0.05,0.08,0.18,0.06,0.304,0.326,3052477,2,5
0.088,0.27,0.138,0.038,0.232,0.234,3052676,4,1
0.032,0.408,0.198,0.018,0.022,0.322,3048175,5,1
0.046,0.09,0.226,0.072,0.208,0.358,3052480,2,5
0.072,0.136,0.036,0.042,0.394,0.32,3052462,4,4
0.058,0.4,0.114,0.028,0.044,0.356,3052466,1,1
0.08,0.074,0.034,0.036,0.714,0.062,3052317,4,4
0.064,0.08,0.44,0.08,0.086,0.25,11709,2,2
0.088,0.122,0.18,0.126,0.182,0.302,11642,2,5
0.09,0.098,0.062,0.178,0.112,0.46,3052396,5,5
0.046,0.112,0.124,0.148,0.1,0.47,3052418,5,5
0.078,0.086,0.112,0.196,0.19,0.338,1803956,0,5
0.03,0.226,0.068,0.018,0.038,0.62,11036,1,5
0.03,0.296,0.23,0.06,0.044,0.34,204269,1,5
0.07,0.08,0.024,0.068,0.724,0.034,3052299,4,4
0.038,0.164,0.034,0.146,0.164,0.454,1987018,5,5
0.028,0.364,0.08,0.012,0.038,0.478,3048459,5,5
0.026,0.076,0.02,0.058,0.066,0.754,2955291,3,5
0.11,0.278,0.072,0.054,0.144,0.342,2748762,5,5
0.03,0.126,0.126,0.05,0.198,0.47,3052640,5,5
0.114,0.208,0.088,0.124,0.13,0.336,2956252,0,5
0.208,0.082,0.102,0.214,0.13,0.264,1239570,0,5
0.024,0.526,0.038,0.018,0.114,0.28,2951618,1,1
0.022,0.172,0.026,0.028,0.108,0.644,1972577,5,5
0.156,0.036,0.074,0.588,0.046,0.1,290028,3,3
