prob_direct contact,prob_faecal-oral,prob_respiratory,prob_vector,taxid,true,pred
0.33,0.16,0.45,0.06,3052303,respiratory,respiratory
0.1,0.13,0.09,0.68,2747210,vector,vector
0.56,0.11,0.01,0.32,138950,direct contact,direct contact
0.18,0.07,0.07,0.68,3048440,vector,vector
0.41,0.07,0.1,0.42,3049954,direct contact,vector
0.29,0.17,0.04,0.5,351073,faecal-oral,vector
0.34,0.1,0.07,0.49,3052426,vector,vector
0.02,0.02,0.0,0.96,3048225,vector,vector
0.26,0.07,0.47,0.2,3052480,respiratory,respiratory
0.33,0.07,0.12,0.48,1933190,vector,vector
0.54,0.07,0.04,0.35,11723,direct contact,direct contact
0.32,0.08,0.05,0.55,1972574,vector,vector
0.23,0.34,0.21,0.22,1239570,faecal-oral,faecal-oral
0.18,0.24,0.13,0.45,28875,faecal-oral,vector
0.33,0.09,0.02,0.56,3052444,vector,vector
0.09,0.0,0.02,0.89,3048168,vector,vector
0.64,0.08,0.07,0.21,38767,direct contact,direct contact
0.69,0.03,0.08,0.2,249583,direct contact,direct contact
0.8,0.05,0.03,0.12,3052458,direct contact,direct contact
0.35,0.05,0.21,0.39,3052514,vector,vector
0.13,0.05,0.01,0.81,48543,vector,vector
0.21,0.12,0.09,0.58,3052397,vector,vector
0.13,0.29,0.43,0.15,290028,respiratory,respiratory
0.26,0.05,0.03,0.66,3048175,vector,vector
0.41,0.08,0.08,0.43,1933191,vector,vector
0.47,0.12,0.12,0.29,1897087,direct contact,direct contact
0.76,0.12,0.02,0.1,194443,direct contact,direct contact
0.18,0.1,0.62,0.1,693997,faecal-oral,respiratory
0.09,0.18,0.57,0.16,694003,respiratory,respiratory
