prob_0,prob_1,prob_2,prob_3,taxid,true,pred
0.023234535,0.12723783,0.77583516,0.07369254,11137,respiratory,respiratory
0.004941975,0.0014689603,0.0013085062,0.9922806,11021,vector,vector
0.41467515,0.016450007,0.056692988,0.5121819,11292,direct contact,vector
0.0031344008,0.0035079997,0.0006449298,0.9927127,3048215,vector,vector
0.0073315436,0.0009000558,0.0010372648,0.9907312,3048233,direct contact,vector
0.03678981,0.4697104,0.24717192,0.24632786,693997,faecal-oral,faecal-oral
0.0016328183,0.00060925464,0.00043766524,0.99732023,3047837,vector,vector
0.044389658,0.019721841,0.11473187,0.8211567,1933191,vector,vector
0.01351052,0.019892368,0.9118441,0.054752998,3052470,respiratory,respiratory
0.19806388,0.0675788,0.23336117,0.5009961,3052381,vector,vector
0.98199123,0.0044336077,0.0054447628,0.008130426,3052557,direct contact,direct contact
0.015774038,0.004310057,0.034902174,0.9450137,3052684,vector,vector
0.021107474,0.040973175,0.8559825,0.081936836,1239570,faecal-oral,respiratory
0.035206396,0.059188887,0.8964095,0.009195283,12092,faecal-oral,respiratory
0.0030493625,0.0014925904,0.0024817446,0.9929763,3052468,vector,vector
0.0015130232,0.000652635,0.0011760702,0.9966583,3052463,vector,vector
0.55500317,0.0085032005,0.015746698,0.42074692,3048148,direct contact,direct contact
0.91135895,0.036295306,0.018056707,0.034289,338079,direct contact,direct contact
0.96794564,0.020013848,0.0080428505,0.003997668,147712,direct contact,direct contact
0.14886378,0.086464904,0.028526204,0.7361451,3052444,vector,vector
0.019156676,0.0074517974,0.011066441,0.9623251,2748762,vector,vector
0.0023349957,0.0010007913,0.001754294,0.99490994,40053,vector,vector
0.012148946,0.004043692,0.9806003,0.0032070188,3052331,respiratory,respiratory
0.06371093,0.00096449896,0.0007051306,0.9346195,332097,vector,vector
0.11988937,0.027188722,0.02005592,0.832866,3052465,vector,vector
0.8389291,0.009762925,0.01509741,0.1362106,2951619,direct contact,direct contact
0.031907007,0.06970715,0.31059694,0.5877889,3052314,direct contact,vector
0.015267953,0.0056639155,0.034084503,0.9449836,1239573,faecal-oral,vector
0.177765,0.5507175,0.16954686,0.10197067,1335626,respiratory,faecal-oral
