prob_0,prob_1,prob_2,prob_3,taxid,true,pred
0.25881127,0.033337984,0.57511467,0.1327361,2169991,respiratory,respiratory
0.020940248,0.017941676,0.54892474,0.41219336,3052456,vector,respiratory
0.9717325,0.0056585646,0.012218782,0.01039012,194443,direct contact,direct contact
0.007293416,0.0053640236,0.0055447165,0.9817978,3052401,vector,vector
0.92189497,0.008777257,0.03285283,0.03647491,3052342,direct contact,direct contact
0.52993107,0.4617176,0.0029329148,0.0054184236,72149,faecal-oral,direct contact
0.7256684,0.03297685,0.034337677,0.20701712,1972572,vector,direct contact
0.22301877,0.03183887,0.03749125,0.7076511,1972577,vector,vector
0.010723612,0.0133965155,0.9618587,0.014021191,3052310,respiratory,respiratory
0.0044244695,0.001453336,0.0014552444,0.9926669,60876,vector,vector
0.12096534,0.013565194,0.0442713,0.82119817,3048233,direct contact,vector
0.008530708,0.0034858368,0.0031565577,0.9848269,2169701,vector,vector
0.067431934,0.92036813,0.0039359657,0.008263989,1239573,faecal-oral,faecal-oral
0.03349895,0.34399158,0.3788885,0.24362095,36427,faecal-oral,respiratory
0.053022873,0.72298557,0.08258038,0.14141114,77763,vector,faecal-oral
0.004504919,0.0017302239,0.0017714128,0.9919934,11036,vector,vector
0.9805382,0.0059060496,0.0071296045,0.0064261765,11676,direct contact,direct contact
0.9647596,0.024918022,0.005024746,0.0052976348,138949,direct contact,direct contact
0.85648286,0.058800228,0.07010212,0.014614852,11292,direct contact,direct contact
0.002575156,0.0012004838,0.0014129744,0.9948114,3052387,vector,vector
0.004959765,0.0023148356,0.0020585991,0.9906668,60875,vector,vector
0.015693353,0.30938825,0.0045433226,0.67037505,2748762,vector,vector
0.06425144,0.029503126,0.7129187,0.19332668,3052302,respiratory,respiratory
0.0037039989,0.001214136,0.0016561161,0.9934257,3048170,vector,vector
0.0026353048,0.001030492,0.0012288257,0.9951054,3048448,vector,vector
0.95382285,0.003149489,0.0029148825,0.040112782,11709,direct contact,direct contact
0.743588,0.026981745,0.08842058,0.14100969,3052225,direct contact,direct contact
0.0058333473,0.98669004,0.0044471887,0.0030293544,2003651,faecal-oral,faecal-oral
0.002924458,0.0017207256,0.9790454,0.016309442,3052498,respiratory,respiratory
