prob_direct contact,prob_faecal-oral,prob_respiratory,prob_vector,true,pred
0.19,0.036,0.532,0.242,respiratory,respiratory
0.25,0.558,0.07,0.122,faecal-oral,faecal-oral
0.196,0.044,0.34,0.42,respiratory,vector
0.72,0.07,0.06,0.15,direct contact,direct contact
0.298,0.62,0.026,0.056,faecal-oral,faecal-oral
0.488,0.094,0.108,0.31,direct contact,direct contact
0.206,0.096,0.39,0.308,vector,respiratory
0.038,0.086,0.052,0.824,vector,vector
0.276,0.046,0.478,0.2,respiratory,respiratory
0.306,0.508,0.082,0.104,faecal-oral,faecal-oral
0.114,0.15,0.666,0.07,respiratory,respiratory
0.604,0.026,0.122,0.248,direct contact,direct contact
0.014,0.018,0.012,0.956,vector,vector
0.042,0.022,0.072,0.864,vector,vector
0.31,0.078,0.074,0.538,vector,vector
0.014,0.008,0.012,0.966,vector,vector
0.126,0.12,0.108,0.646,vector,vector
0.04,0.002,0.012,0.946,vector,vector
0.862,0.046,0.036,0.056,direct contact,direct contact
0.434,0.422,0.048,0.096,faecal-oral,direct contact
0.686,0.264,0.018,0.032,direct contact,direct contact
0.578,0.056,0.094,0.272,direct contact,direct contact
0.18,0.02,0.062,0.738,vector,vector
0.26,0.186,0.146,0.408,vector,vector
0.014,0.006,0.036,0.944,vector,vector
0.078,0.024,0.122,0.776,vector,vector
0.072,0.098,0.056,0.774,vector,vector
0.024,0.01,0.71,0.256,respiratory,respiratory
0.728,0.036,0.064,0.172,direct contact,direct contact
0.62,0.126,0.094,0.16,direct contact,direct contact
