prob_direct contact,prob_faecal-oral,prob_respiratory,prob_vector,true,pred
0.052,0.056,0.076,0.816,vector,vector
0.04,0.2,0.482,0.278,direct contact,respiratory
0.314,0.074,0.152,0.46,vector,vector
0.018,0.018,0.032,0.932,vector,vector
0.03,0.036,0.048,0.886,vector,vector
0.324,0.15,0.182,0.344,respiratory,vector
0.25,0.034,0.546,0.17,respiratory,respiratory
0.676,0.274,0.016,0.034,direct contact,direct contact
0.598,0.042,0.098,0.262,direct contact,direct contact
0.466,0.154,0.14,0.24,direct contact,direct contact
0.16,0.212,0.146,0.482,vector,vector
0.026,0.024,0.01,0.94,vector,vector
0.07,0.104,0.05,0.776,vector,vector
0.108,0.706,0.05,0.136,faecal-oral,faecal-oral
0.002,0.018,0.02,0.96,vector,vector
0.156,0.006,0.03,0.808,direct contact,vector
0.296,0.186,0.18,0.338,faecal-oral,vector
0.546,0.028,0.134,0.292,direct contact,direct contact
0.338,0.192,0.252,0.218,faecal-oral,direct contact
0.058,0.012,0.062,0.868,vector,vector
0.056,0.068,0.068,0.808,vector,vector
0.012,0.012,0.04,0.936,vector,vector
0.216,0.584,0.094,0.106,faecal-oral,faecal-oral
0.158,0.032,0.62,0.19,respiratory,respiratory
0.03,0.026,0.012,0.932,vector,vector
0.55,0.062,0.106,0.282,direct contact,direct contact
0.054,0.05,0.054,0.842,vector,vector
0.174,0.686,0.042,0.098,direct contact,faecal-oral
0.026,0.018,0.668,0.288,respiratory,respiratory
0.04,0.022,0.632,0.306,respiratory,respiratory
