prob_direct contact,prob_faecal-oral,prob_respiratory,prob_vector,true,pred
0.03666666666666667,0.04,0.013333333333333334,0.91,vector,vector
0.04,0.02666666666666667,0.08,0.8533333333333334,respiratory,vector
0.31333333333333335,0.10333333333333333,0.21,0.37333333333333335,vector,vector
0.56,0.04666666666666667,0.12,0.2733333333333333,vector,direct contact
0.38333333333333336,0.11333333333333333,0.11333333333333333,0.39,vector,vector
0.73,0.03333333333333333,0.09333333333333334,0.14333333333333334,direct contact,direct contact
0.87,0.07,0.016666666666666666,0.043333333333333335,direct contact,direct contact
0.5766666666666667,0.09666666666666666,0.08666666666666667,0.24,direct contact,direct contact
0.21,0.52,0.10333333333333333,0.16666666666666666,faecal-oral,faecal-oral
0.32,0.18,0.16333333333333333,0.33666666666666667,respiratory,vector
0.03,0.03,0.03333333333333333,0.9066666666666666,vector,vector
0.06666666666666667,0.06,0.04,0.8333333333333334,vector,vector
0.43333333333333335,0.4533333333333333,0.02666666666666667,0.08666666666666667,faecal-oral,faecal-oral
0.31,0.17333333333333334,0.07666666666666666,0.44,respiratory,vector
0.03666666666666667,0.016666666666666666,0.023333333333333334,0.9233333333333333,vector,vector
0.3233333333333333,0.18333333333333332,0.16333333333333333,0.33,faecal-oral,vector
0.0033333333333333335,0.01,0.0,0.9866666666666667,vector,vector
0.043333333333333335,0.02666666666666667,0.013333333333333334,0.9166666666666666,vector,vector
0.27,0.6633333333333333,0.006666666666666667,0.06,faecal-oral,faecal-oral
0.09666666666666666,0.03666666666666667,0.56,0.30666666666666664,respiratory,respiratory
0.64,0.32,0.01,0.03,direct contact,direct contact
0.5166666666666667,0.22333333333333333,0.09333333333333334,0.16666666666666666,direct contact,direct contact
0.023333333333333334,0.006666666666666667,0.013333333333333334,0.9566666666666667,vector,vector
0.06666666666666667,0.06,0.5133333333333333,0.36,respiratory,respiratory
0.51,0.18,0.15666666666666668,0.15333333333333332,direct contact,direct contact
0.02,0.016666666666666666,0.016666666666666666,0.9466666666666667,vector,vector
0.8,0.03333333333333333,0.07333333333333333,0.09333333333333334,direct contact,direct contact
0.39666666666666667,0.1,0.16666666666666666,0.33666666666666667,vector,direct contact
0.10666666666666667,0.006666666666666667,0.0033333333333333335,0.8833333333333333,direct contact,vector
0.30333333333333334,0.07,0.2,0.4266666666666667,vector,vector
