prob_direct contact,prob_faecal-oral,prob_respiratory,prob_vector,true,pred
0.12,0.05,0.08,0.75,direct contact,vector
0.29,0.065,0.075,0.57,direct contact,vector
0.285,0.055,0.405,0.255,respiratory,respiratory
0.025,0.02,0.08,0.875,vector,vector
0.015,0.005,0.02,0.96,vector,vector
0.28,0.33,0.085,0.305,faecal-oral,faecal-oral
0.19,0.065,0.09,0.655,vector,vector
0.505,0.155,0.105,0.235,direct contact,direct contact
0.015,0.0,0.07,0.915,vector,vector
0.01,0.01,0.005,0.975,vector,vector
0.715,0.035,0.085,0.165,direct contact,direct contact
0.4,0.075,0.26,0.265,respiratory,direct contact
0.265,0.12,0.325,0.29,vector,respiratory
0.19,0.415,0.075,0.32,faecal-oral,faecal-oral
0.89,0.015,0.05,0.045,direct contact,direct contact
0.185,0.355,0.18,0.28,vector,faecal-oral
0.005,0.005,0.01,0.98,vector,vector
0.125,0.1,0.435,0.34,respiratory,respiratory
0.275,0.475,0.13,0.12,faecal-oral,faecal-oral
0.215,0.135,0.12,0.53,vector,vector
0.13,0.01,0.03,0.83,direct contact,vector
0.145,0.08,0.475,0.3,vector,respiratory
0.05,0.075,0.05,0.825,vector,vector
0.23,0.07,0.235,0.465,vector,vector
0.74,0.05,0.07,0.14,direct contact,direct contact
0.04,0.035,0.76,0.165,respiratory,respiratory
0.6,0.095,0.075,0.23,direct contact,direct contact
0.12,0.02,0.765,0.095,respiratory,respiratory
0.03,0.015,0.035,0.92,vector,vector
0.48,0.44,0.035,0.045,faecal-oral,direct contact
