prob_direct contact,prob_faecal-oral,prob_respiratory,prob_vector,true,pred
0.258,0.162,0.184,0.396,vector,vector
0.02,0.038,0.15,0.792,vector,vector
0.21,0.048,0.36,0.382,respiratory,vector
0.02,0.006,0.048,0.926,vector,vector
0.128,0.046,0.562,0.264,respiratory,respiratory
0.042,0.022,0.036,0.9,vector,vector
0.008,0.004,0.026,0.962,vector,vector
0.71,0.094,0.054,0.142,direct contact,direct contact
0.038,0.022,0.022,0.918,vector,vector
0.184,0.018,0.042,0.756,vector,vector
0.656,0.308,0.024,0.012,direct contact,direct contact
0.046,0.012,0.6,0.342,respiratory,respiratory
0.298,0.602,0.03,0.07,faecal-oral,faecal-oral
0.564,0.06,0.098,0.278,direct contact,direct contact
0.026,0.002,0.01,0.962,vector,vector
0.558,0.376,0.02,0.046,direct contact,direct contact
0.03,0.018,0.028,0.924,vector,vector
0.012,0.008,0.004,0.976,vector,vector
0.036,0.032,0.05,0.882,vector,vector
0.288,0.382,0.146,0.184,faecal-oral,faecal-oral
0.102,0.128,0.64,0.13,respiratory,respiratory
0.148,0.13,0.58,0.142,respiratory,respiratory
0.67,0.046,0.17,0.114,direct contact,direct contact
0.23,0.186,0.406,0.178,faecal-oral,respiratory
0.248,0.134,0.138,0.48,vector,vector
0.15,0.454,0.174,0.222,vector,faecal-oral
0.676,0.134,0.064,0.126,direct contact,direct contact
0.398,0.072,0.048,0.482,direct contact,vector
0.88,0.046,0.036,0.038,direct contact,direct contact
0.226,0.382,0.042,0.35,faecal-oral,faecal-oral
