prob_direct contact,prob_faecal-oral,prob_respiratory,prob_vector,true,pred
0.92,0.02,0.025,0.035,direct contact,direct contact
0.225,0.06,0.18,0.535,vector,vector
0.125,0.07,0.405,0.4,respiratory,respiratory
0.19,0.58,0.045,0.185,faecal-oral,faecal-oral
0.21,0.665,0.03,0.095,direct contact,faecal-oral
0.02,0.005,0.01,0.965,vector,vector
0.005,0.02,0.0,0.975,vector,vector
0.03,0.02,0.035,0.915,vector,vector
0.04,0.03,0.565,0.365,respiratory,respiratory
0.06,0.015,0.045,0.88,vector,vector
0.66,0.015,0.105,0.22,direct contact,direct contact
0.02,0.005,0.015,0.96,vector,vector
0.065,0.03,0.05,0.855,respiratory,vector
0.39,0.015,0.0,0.595,vector,vector
0.065,0.02,0.035,0.88,vector,vector
0.385,0.175,0.205,0.235,faecal-oral,direct contact
0.745,0.255,0.0,0.0,direct contact,direct contact
0.07,0.04,0.015,0.875,vector,vector
0.285,0.03,0.03,0.655,vector,vector
0.54,0.09,0.235,0.135,direct contact,direct contact
0.355,0.12,0.09,0.435,respiratory,vector
0.635,0.09,0.07,0.205,direct contact,direct contact
0.04,0.015,0.015,0.93,vector,vector
0.12,0.02,0.695,0.165,respiratory,respiratory
0.075,0.045,0.045,0.835,vector,vector
0.25,0.505,0.055,0.19,faecal-oral,faecal-oral
0.815,0.085,0.045,0.055,direct contact,direct contact
0.34,0.085,0.11,0.465,vector,vector
0.275,0.29,0.105,0.33,faecal-oral,vector
0.525,0.055,0.145,0.275,direct contact,direct contact
