prob_direct contact,prob_faecal-oral,prob_respiratory,prob_vector,true,pred
0.476,0.08,0.072,0.372,direct contact,direct contact
0.01,0.008,0.014,0.968,vector,vector
0.22,0.042,0.176,0.562,vector,vector
0.694,0.05,0.06,0.196,direct contact,direct contact
0.294,0.038,0.37,0.298,respiratory,respiratory
0.046,0.036,0.028,0.89,vector,vector
0.216,0.544,0.104,0.136,faecal-oral,faecal-oral
0.248,0.15,0.198,0.404,direct contact,vector
0.902,0.022,0.03,0.046,direct contact,direct contact
0.03,0.03,0.166,0.774,vector,vector
0.64,0.04,0.17,0.15,direct contact,direct contact
0.03,0.002,0.016,0.952,vector,vector
0.21,0.17,0.09,0.53,vector,vector
0.108,0.198,0.58,0.114,respiratory,respiratory
0.422,0.106,0.222,0.25,respiratory,direct contact
0.89,0.01,0.05,0.05,direct contact,direct contact
0.252,0.526,0.066,0.156,faecal-oral,faecal-oral
0.012,0.012,0.026,0.95,vector,vector
0.032,0.016,0.024,0.928,vector,vector
0.518,0.042,0.132,0.308,vector,direct contact
0.3,0.494,0.118,0.088,faecal-oral,faecal-oral
0.704,0.248,0.028,0.02,direct contact,direct contact
0.116,0.006,0.072,0.806,vector,vector
0.008,0.006,0.026,0.96,vector,vector
0.658,0.034,0.178,0.13,direct contact,direct contact
0.158,0.096,0.302,0.444,vector,vector
0.154,0.044,0.606,0.196,respiratory,respiratory
0.258,0.548,0.054,0.14,faecal-oral,faecal-oral
0.044,0.004,0.654,0.298,respiratory,respiratory
0.018,0.032,0.014,0.936,vector,vector
