prob_direct contact,prob_faecal-oral,prob_respiratory,prob_vector,true,pred
0.0,0.03,0.05,0.92,vector,vector
0.2,0.17,0.08,0.55,vector,vector
0.31,0.25,0.24,0.2,faecal-oral,direct contact
0.03,0.05,0.05,0.87,vector,vector
0.32,0.59,0.03,0.06,faecal-oral,faecal-oral
0.25,0.04,0.47,0.24,direct contact,respiratory
0.89,0.05,0.0,0.06,direct contact,direct contact
0.12,0.08,0.46,0.34,respiratory,respiratory
0.66,0.16,0.07,0.11,direct contact,direct contact
0.1,0.02,0.07,0.81,vector,vector
0.22,0.03,0.28,0.47,vector,vector
0.62,0.35,0.01,0.02,direct contact,direct contact
0.05,0.02,0.12,0.81,vector,vector
0.24,0.53,0.05,0.18,faecal-oral,faecal-oral
0.04,0.02,0.07,0.87,vector,vector
0.02,0.01,0.74,0.23,respiratory,respiratory
0.17,0.01,0.08,0.74,direct contact,vector
0.27,0.13,0.11,0.49,respiratory,vector
0.07,0.03,0.71,0.19,respiratory,respiratory
0.89,0.05,0.02,0.04,direct contact,direct contact
0.01,0.0,0.0,0.99,vector,vector
0.86,0.04,0.05,0.05,direct contact,direct contact
0.07,0.04,0.1,0.79,vector,vector
0.1,0.01,0.04,0.85,vector,vector
0.18,0.2,0.48,0.14,respiratory,respiratory
0.26,0.07,0.23,0.44,vector,vector
0.62,0.01,0.13,0.24,direct contact,direct contact
0.26,0.1,0.12,0.52,vector,vector
0.21,0.4,0.05,0.34,faecal-oral,faecal-oral
0.01,0.01,0.04,0.94,vector,vector
