prob_direct contact,prob_faecal-oral,prob_respiratory,prob_vector,true,pred
0.602,0.06,0.112,0.226,direct contact,direct contact
0.31,0.034,0.246,0.41,vector,vector
0.562,0.008,0.034,0.396,vector,direct contact
0.074,0.012,0.062,0.852,vector,vector
0.116,0.072,0.08,0.732,vector,vector
0.344,0.05,0.202,0.404,vector,vector
0.904,0.018,0.038,0.04,direct contact,direct contact
0.322,0.26,0.108,0.31,faecal-oral,direct contact
0.322,0.062,0.422,0.194,respiratory,respiratory
0.406,0.434,0.05,0.11,faecal-oral,faecal-oral
0.756,0.022,0.102,0.12,direct contact,direct contact
0.01,0.0,0.01,0.98,vector,vector
0.236,0.078,0.07,0.616,vector,vector
0.274,0.306,0.086,0.334,faecal-oral,vector
0.296,0.036,0.482,0.186,respiratory,respiratory
0.15,0.24,0.452,0.158,respiratory,respiratory
0.156,0.2,0.554,0.09,respiratory,respiratory
0.72,0.128,0.044,0.108,direct contact,direct contact
0.204,0.64,0.048,0.108,direct contact,faecal-oral
0.358,0.06,0.146,0.436,vector,vector
0.88,0.052,0.042,0.026,direct contact,direct contact
0.308,0.066,0.124,0.502,vector,vector
0.266,0.2,0.274,0.26,respiratory,respiratory
0.154,0.092,0.338,0.416,vector,vector
0.212,0.13,0.22,0.438,direct contact,vector
0.142,0.048,0.124,0.686,vector,vector
0.056,0.046,0.04,0.858,vector,vector
0.17,0.434,0.084,0.312,faecal-oral,faecal-oral
0.164,0.092,0.118,0.626,vector,vector
0.518,0.08,0.114,0.288,direct contact,direct contact
