prob_direct contact,prob_faecal-oral,prob_respiratory,prob_vector,true,pred
0.244,0.068,0.32,0.368,respiratory,vector
0.108,0.184,0.584,0.124,respiratory,respiratory
0.002,0.006,0.018,0.974,vector,vector
0.258,0.39,0.074,0.278,faecal-oral,faecal-oral
0.072,0.1,0.062,0.766,vector,vector
0.17,0.604,0.096,0.13,faecal-oral,faecal-oral
0.682,0.278,0.012,0.028,direct contact,direct contact
0.004,0.0,0.016,0.98,vector,vector
0.244,0.048,0.468,0.24,direct contact,respiratory
0.274,0.116,0.096,0.514,vector,vector
0.006,0.0,0.002,0.992,vector,vector
0.858,0.02,0.05,0.072,direct contact,direct contact
0.06,0.01,0.034,0.896,vector,vector
0.682,0.036,0.106,0.176,direct contact,direct contact
0.054,0.024,0.036,0.886,vector,vector
0.336,0.07,0.158,0.436,vector,vector
0.142,0.018,0.156,0.684,vector,vector
0.754,0.098,0.038,0.11,direct contact,direct contact
0.028,0.016,0.62,0.336,respiratory,respiratory
0.154,0.0,0.016,0.83,direct contact,vector
0.068,0.024,0.694,0.214,respiratory,respiratory
0.012,0.01,0.064,0.914,vector,vector
0.232,0.406,0.144,0.218,faecal-oral,faecal-oral
0.898,0.022,0.036,0.044,direct contact,direct contact
0.504,0.35,0.058,0.088,faecal-oral,direct contact
0.0,0.012,0.012,0.976,vector,vector
0.334,0.056,0.096,0.514,vector,vector
0.58,0.14,0.116,0.164,direct contact,direct contact
0.026,0.002,0.656,0.316,respiratory,respiratory
0.054,0.022,0.022,0.902,vector,vector
