prob_direct contact,prob_faecal-oral,prob_respiratory,prob_vector,true,pred
0.09,0.015,0.77,0.125,respiratory,respiratory
0.435,0.43,0.035,0.1,faecal-oral,direct contact
0.805,0.08,0.04,0.075,direct contact,direct contact
0.73,0.085,0.04,0.145,direct contact,direct contact
0.1,0.0,0.04,0.86,vector,vector
0.165,0.465,0.165,0.205,vector,faecal-oral
0.26,0.06,0.22,0.46,vector,vector
0.065,0.205,0.48,0.25,direct contact,respiratory
0.0,0.005,0.005,0.99,vector,vector
0.025,0.0,0.005,0.97,vector,vector
0.03,0.02,0.045,0.905,vector,vector
0.675,0.05,0.105,0.17,direct contact,direct contact
0.725,0.045,0.075,0.155,direct contact,direct contact
0.025,0.035,0.025,0.915,vector,vector
0.03,0.05,0.015,0.905,vector,vector
0.615,0.055,0.15,0.18,direct contact,direct contact
0.02,0.145,0.755,0.08,respiratory,respiratory
0.09,0.035,0.605,0.27,respiratory,respiratory
0.85,0.025,0.07,0.055,direct contact,direct contact
0.435,0.165,0.235,0.165,faecal-oral,direct contact
0.49,0.035,0.19,0.285,vector,direct contact
0.045,0.045,0.105,0.805,respiratory,vector
0.015,0.0,0.01,0.975,vector,vector
0.035,0.005,0.055,0.905,vector,vector
0.175,0.43,0.135,0.26,faecal-oral,faecal-oral
0.06,0.045,0.045,0.85,vector,vector
0.295,0.215,0.195,0.295,faecal-oral,direct contact
0.085,0.015,0.675,0.225,respiratory,respiratory
0.325,0.04,0.35,0.285,vector,respiratory
0.715,0.11,0.07,0.105,direct contact,direct contact
