prob_direct contact,prob_faecal-oral,prob_respiratory,prob_vector,true,pred
0.02,0.028,0.056,0.896,vector,vector
0.032,0.052,0.16,0.756,vector,vector
0.254,0.506,0.078,0.162,faecal-oral,faecal-oral
0.562,0.036,0.098,0.304,direct contact,direct contact
0.27,0.05,0.384,0.296,respiratory,respiratory
0.318,0.54,0.036,0.106,faecal-oral,faecal-oral
0.256,0.088,0.282,0.374,vector,vector
0.352,0.18,0.21,0.258,faecal-oral,direct contact
0.188,0.074,0.34,0.398,respiratory,vector
0.2,0.044,0.528,0.228,respiratory,respiratory
0.088,0.018,0.12,0.774,vector,vector
0.606,0.04,0.132,0.222,direct contact,direct contact
0.886,0.044,0.022,0.048,direct contact,direct contact
0.236,0.596,0.072,0.096,faecal-oral,faecal-oral
0.058,0.226,0.452,0.264,direct contact,respiratory
0.048,0.016,0.102,0.834,vector,vector
0.042,0.034,0.058,0.866,vector,vector
0.138,0.008,0.018,0.836,direct contact,vector
0.254,0.162,0.106,0.478,respiratory,vector
0.008,0.012,0.014,0.966,vector,vector
0.744,0.058,0.046,0.152,direct contact,direct contact
0.026,0.03,0.034,0.91,vector,vector
0.072,0.046,0.062,0.82,vector,vector
0.612,0.056,0.166,0.166,direct contact,direct contact
0.02,0.006,0.016,0.958,vector,vector
0.132,0.512,0.16,0.196,vector,faecal-oral
0.292,0.068,0.418,0.222,respiratory,respiratory
0.372,0.176,0.116,0.336,direct contact,direct contact
0.04,0.05,0.036,0.874,vector,vector
0.058,0.05,0.066,0.826,vector,vector
