prob_direct contact,prob_faecal-oral,prob_respiratory,prob_vector,true,pred
0.374,0.418,0.1,0.108,faecal-oral,faecal-oral
0.132,0.088,0.126,0.654,vector,vector
0.01,0.008,0.014,0.968,vector,vector
0.03,0.02,0.058,0.892,vector,vector
0.88,0.028,0.044,0.048,direct contact,direct contact
0.146,0.028,0.68,0.146,respiratory,respiratory
0.008,0.004,0.006,0.982,vector,vector
0.318,0.348,0.142,0.192,faecal-oral,faecal-oral
0.86,0.044,0.056,0.04,direct contact,direct contact
0.266,0.042,0.408,0.284,respiratory,respiratory
0.008,0.006,0.006,0.98,vector,vector
0.02,0.006,0.022,0.952,vector,vector
0.048,0.236,0.388,0.328,direct contact,respiratory
0.038,0.186,0.554,0.222,respiratory,respiratory
0.842,0.034,0.068,0.056,direct contact,direct contact
0.28,0.108,0.25,0.362,vector,vector
0.118,0.06,0.106,0.716,vector,vector
0.02,0.01,0.05,0.92,vector,vector
0.272,0.078,0.11,0.54,vector,vector
0.812,0.092,0.032,0.064,direct contact,direct contact
0.404,0.496,0.044,0.056,faecal-oral,faecal-oral
0.024,0.012,0.73,0.234,respiratory,respiratory
0.014,0.01,0.054,0.922,vector,vector
0.104,0.094,0.098,0.704,vector,vector
0.19,0.634,0.038,0.138,faecal-oral,faecal-oral
0.05,0.22,0.528,0.202,respiratory,respiratory
0.004,0.008,0.016,0.972,vector,vector
0.146,0.004,0.02,0.83,direct contact,vector
0.766,0.112,0.038,0.084,direct contact,direct contact
0.696,0.248,0.022,0.034,direct contact,direct contact
