prob_direct contact,prob_faecal-oral,prob_respiratory,prob_vector,true,pred
0.092,0.044,0.612,0.252,respiratory,respiratory
0.418,0.446,0.044,0.092,faecal-oral,faecal-oral
0.074,0.028,0.026030303030303032,0.871969696969697,vector,vector
0.078,0.152,0.48003030303030303,0.289969696969697,direct contact,respiratory
0.058,0.058,0.09403030303030303,0.789969696969697,respiratory,vector
0.262,0.044,0.49,0.204,respiratory,respiratory
0.042,0.03,0.01603030303030303,0.911969696969697,vector,vector
0.06,0.108,0.646,0.186,respiratory,respiratory
0.012,0.012,0.738,0.238,respiratory,respiratory
0.014,0.012,0.014030303030303032,0.959969696969697,vector,vector
0.834,0.078,0.022,0.066,direct contact,direct contact
0.158,0.064,0.07203030303030303,0.705969696969697,direct contact,vector
0.018,0.016,0.012030303030303032,0.953969696969697,vector,vector
0.128,0.202,0.454,0.216,faecal-oral,respiratory
0.322,0.046,0.042666666666666665,0.5893333333333333,vector,vector
0.024,0.008,0.046,0.922,vector,vector
0.03,0.02,0.012030303030303032,0.937969696969697,vector,vector
0.396,0.516,0.032,0.056,faecal-oral,faecal-oral
0.022,0.034,0.045,0.899,vector,vector
0.138,0.652,0.094,0.116,faecal-oral,faecal-oral
0.69,0.252,0.018,0.04,direct contact,direct contact
0.296,0.13,0.206,0.368,vector,vector
0.024,0.048,0.158,0.77,vector,vector
0.84,0.03,0.068,0.062,direct contact,direct contact
0.128,0.12,0.11,0.642,vector,vector
0.052,0.052,0.06803030303030302,0.827969696969697,vector,vector
0.706,0.082,0.066,0.146,direct contact,direct contact
0.662,0.068,0.07603030303030303,0.19396969696969696,direct contact,direct contact
0.044,0.022,0.03603030303030303,0.897969696969697,vector,vector
0.758,0.04,0.06,0.142,direct contact,direct contact
