prob_direct contact,prob_faecal-oral,prob_respiratory,prob_vector,true,pred
0.066,0.022,0.084,0.828,respiratory,vector
0.244,0.518,0.05,0.188,faecal-oral,faecal-oral
0.82,0.078,0.028,0.074,direct contact,direct contact
0.064,0.09,0.094,0.752,vector,vector
0.038,0.008,0.018,0.936,vector,vector
0.75,0.056,0.088,0.106,direct contact,direct contact
0.202,0.006,0.018,0.774,vector,vector
0.032,0.02,0.03,0.918,vector,vector
0.068,0.016,0.036,0.88,vector,vector
0.662,0.3,0.008,0.03,direct contact,direct contact
0.678,0.048,0.066,0.208,direct contact,direct contact
0.82,0.026,0.09,0.064,direct contact,direct contact
0.036,0.014,0.028,0.922,vector,vector
0.058,0.036,0.562,0.344,respiratory,respiratory
0.096,0.05,0.086,0.768,vector,vector
0.18,0.608,0.096,0.116,faecal-oral,faecal-oral
0.304,0.428,0.046,0.222,faecal-oral,faecal-oral
0.052,0.016,0.528,0.404,respiratory,respiratory
0.258,0.17,0.154,0.418,respiratory,vector
0.018,0.016,0.01,0.956,vector,vector
0.832,0.036,0.062,0.07,direct contact,direct contact
0.174,0.048,0.084,0.694,direct contact,vector
0.012,0.0,0.002,0.986,vector,vector
0.16,0.144,0.31,0.386,vector,vector
0.282,0.514,0.09,0.114,faecal-oral,faecal-oral
0.092,0.02,0.704,0.184,respiratory,respiratory
0.62,0.14,0.102,0.138,direct contact,direct contact
0.254,0.186,0.146,0.414,vector,vector
0.024,0.014,0.012,0.95,vector,vector
0.418,0.066,0.158,0.358,vector,direct contact
