prob_direct contact,prob_faecal-oral,prob_respiratory,prob_vector,true,pred
0.03,0.005,0.745,0.22,respiratory,respiratory
0.84,0.035,0.08,0.045,direct contact,direct contact
0.19,0.0,0.045,0.765,vector,vector
0.31,0.395,0.045,0.25,faecal-oral,faecal-oral
0.05,0.01,0.005,0.935,vector,vector
0.09,0.02,0.66,0.23,respiratory,respiratory
0.045,0.18,0.7,0.075,respiratory,respiratory
0.695,0.05,0.09,0.165,direct contact,direct contact
0.9,0.03,0.04,0.03,direct contact,direct contact
0.01,0.01,0.055,0.925,vector,vector
0.67,0.06,0.07,0.2,direct contact,direct contact
0.145,0.205,0.16,0.49,vector,vector
0.335,0.07,0.1,0.495,vector,vector
0.06,0.055,0.075,0.81,vector,vector
0.25,0.145,0.26,0.345,vector,vector
0.27,0.675,0.02,0.035,faecal-oral,faecal-oral
0.225,0.02,0.42,0.335,direct contact,respiratory
0.775,0.1,0.06,0.065,direct contact,direct contact
0.02,0.025,0.025,0.93,vector,vector
0.075,0.06,0.065,0.8,vector,vector
0.215,0.365,0.135,0.285,faecal-oral,faecal-oral
0.255,0.04,0.475,0.23,respiratory,respiratory
0.13,0.13,0.445,0.295,vector,respiratory
0.03,0.265,0.485,0.22,direct contact,respiratory
0.02,0.0,0.0,0.98,vector,vector
0.38,0.0,0.02,0.6,vector,vector
0.025,0.01,0.035,0.93,vector,vector
0.2,0.37,0.13,0.3,faecal-oral,faecal-oral
0.72,0.255,0.01,0.015,direct contact,direct contact
0.205,0.04,0.485,0.27,respiratory,respiratory
