prob_direct contact,prob_faecal-oral,prob_respiratory,prob_vector,true,pred
0.16,0.02,0.14,0.68,vector,vector
0.25,0.0,0.01,0.74,vector,vector
0.17,0.65,0.06,0.12,faecal-oral,faecal-oral
0.12,0.09,0.07,0.72,vector,vector
0.34,0.19,0.26,0.21,faecal-oral,direct contact
0.02,0.0,0.05,0.93,vector,vector
0.0,0.0,0.01,0.99,vector,vector
0.56,0.02,0.17,0.25,direct contact,direct contact
0.08,0.02,0.57,0.33,respiratory,respiratory
0.34,0.05,0.19,0.42,vector,vector
0.53,0.02,0.28,0.17,direct contact,direct contact
0.69,0.21,0.02,0.08,direct contact,direct contact
0.13,0.13,0.08,0.66,vector,vector
0.48,0.05,0.08,0.39,vector,direct contact
0.19,0.08,0.53,0.2,respiratory,respiratory
0.54,0.03,0.21,0.22,direct contact,direct contact
0.31,0.17,0.14,0.38,vector,vector
0.03,0.02,0.02,0.93,vector,vector
0.33,0.43,0.02,0.22,faecal-oral,faecal-oral
0.23,0.03,0.32,0.42,respiratory,vector
0.09,0.04,0.62,0.25,respiratory,respiratory
0.04,0.02,0.03,0.91,respiratory,vector
0.45,0.07,0.11,0.37,direct contact,direct contact
0.22,0.61,0.03,0.14,direct contact,faecal-oral
0.51,0.29,0.06,0.14,faecal-oral,direct contact
0.44,0.03,0.29,0.24,vector,direct contact
0.62,0.21,0.05,0.12,direct contact,direct contact
0.15,0.0,0.05,0.8,vector,vector
0.25,0.0,0.02,0.73,vector,vector
0.57,0.08,0.1,0.25,direct contact,direct contact
