prob_direct contact,prob_faecal-oral,prob_respiratory,prob_vector,true,pred
0.035,0.005,0.01,0.95,vector,vector
0.315,0.225,0.18,0.28,faecal-oral,direct contact
0.36,0.005,0.02,0.615,vector,vector
0.23,0.07,0.51,0.19,respiratory,respiratory
0.28,0.19,0.15,0.38,respiratory,vector
0.555,0.055,0.115,0.275,direct contact,direct contact
0.06,0.01,0.735,0.195,respiratory,respiratory
0.265,0.07,0.34,0.325,respiratory,respiratory
0.335,0.335,0.13,0.2,faecal-oral,direct contact
0.21,0.04,0.315,0.435,vector,vector
0.025,0.01,0.0,0.965,vector,vector
0.275,0.07,0.14,0.515,vector,vector
0.06,0.2,0.475,0.265,direct contact,respiratory
0.42,0.54,0.01,0.03,faecal-oral,faecal-oral
0.055,0.07,0.065,0.81,vector,vector
0.385,0.21,0.09,0.315,direct contact,direct contact
0.09,0.035,0.505,0.37,respiratory,respiratory
0.465,0.445,0.025,0.065,faecal-oral,direct contact
0.38,0.075,0.215,0.33,vector,direct contact
0.53,0.16,0.14,0.17,direct contact,direct contact
0.005,0.0,0.02,0.975,vector,vector
0.035,0.03,0.025,0.91,vector,vector
0.01,0.0,0.01,0.98,vector,vector
0.635,0.04,0.145,0.18,direct contact,direct contact
0.105,0.055,0.09,0.75,vector,vector
0.07,0.025,0.065,0.84,vector,vector
0.285,0.045,0.115,0.555,vector,vector
0.25,0.05,0.42,0.28,direct contact,respiratory
0.905,0.04,0.02,0.035,direct contact,direct contact
0.585,0.235,0.05,0.13,direct contact,direct contact
