prob_direct contact,prob_faecal-oral,prob_respiratory,prob_vector,true,pred
0.192,0.228,0.116,0.464,vector,vector
0.914,0.012,0.05,0.024,direct contact,direct contact
0.012,0.008,0.03,0.95,vector,vector
0.012,0.004,0.004,0.98,vector,vector
0.04,0.028,0.028,0.904,vector,vector
0.008,0.004,0.024,0.964,vector,vector
0.242,0.046,0.176,0.536,vector,vector
0.04,0.022,0.04,0.898,vector,vector
0.006,0.004,0.002,0.988,vector,vector
0.842,0.074,0.03,0.054,direct contact,direct contact
0.008,0.006,0.004,0.982,vector,vector
0.53,0.04,0.256,0.174,direct contact,direct contact
0.746,0.218,0.018,0.018,direct contact,direct contact
0.56,0.05,0.158,0.232,direct contact,direct contact
0.17,0.2,0.468,0.162,respiratory,respiratory
0.228,0.156,0.244,0.372,direct contact,vector
0.066,0.022,0.718,0.194,respiratory,respiratory
0.23,0.548,0.064,0.158,faecal-oral,faecal-oral
0.666,0.134,0.078,0.122,direct contact,direct contact
0.074,0.056,0.054,0.816,vector,vector
0.12,0.186,0.594,0.1,respiratory,respiratory
0.102,0.018,0.7,0.18,respiratory,respiratory
0.432,0.402,0.074,0.092,faecal-oral,direct contact
0.396,0.058,0.148,0.398,vector,vector
0.168,0.676,0.056,0.1,faecal-oral,faecal-oral
0.252,0.076,0.098,0.574,vector,vector
0.526,0.02,0.21,0.244,direct contact,direct contact
0.084,0.07,0.054,0.792,vector,vector
0.48,0.382,0.046,0.092,faecal-oral,direct contact
0.16,0.084,0.42,0.336,respiratory,respiratory
