prob_direct contact,prob_faecal-oral,prob_respiratory,prob_vector,true,pred
0.036,0.038,0.034,0.892,vector,vector
0.224,0.614,0.056,0.106,faecal-oral,faecal-oral
0.174,0.456,0.062,0.308,faecal-oral,faecal-oral
0.03,0.024,0.028,0.918,vector,vector
0.786,0.094,0.042,0.078,direct contact,direct contact
0.222,0.478,0.124,0.176,faecal-oral,faecal-oral
0.626,0.328,0.018,0.028,direct contact,direct contact
0.492,0.446,0.016,0.046,direct contact,direct contact
0.136,0.216,0.486,0.162,respiratory,respiratory
0.146,0.01,0.038,0.806,vector,vector
0.126,0.07,0.102,0.702,vector,vector
0.284,0.17,0.166,0.38,respiratory,vector
0.18,0.012,0.06,0.748,vector,vector
0.084,0.1,0.042,0.774,vector,vector
0.018,0.002,0.012,0.968,vector,vector
0.112,0.182,0.61,0.096,respiratory,respiratory
0.168,0.026,0.608,0.198,respiratory,respiratory
0.036,0.024,0.654,0.286,respiratory,respiratory
0.762,0.11,0.068,0.06,direct contact,direct contact
0.008,0.002,0.01,0.98,vector,vector
0.656,0.13,0.07,0.144,direct contact,direct contact
0.226,0.686,0.034,0.054,faecal-oral,faecal-oral
0.05,0.018,0.042,0.89,vector,vector
0.642,0.052,0.098,0.208,direct contact,direct contact
0.024,0.02,0.034,0.922,vector,vector
0.02,0.016,0.048,0.916,vector,vector
0.788,0.096,0.058,0.058,direct contact,direct contact
0.046,0.042,0.044,0.868,vector,vector
0.08,0.016,0.12,0.784,vector,vector
0.174,0.662,0.042,0.122,direct contact,faecal-oral
