prob_direct contact,prob_faecal-oral,prob_respiratory,prob_vector,true,pred
0.65,0.31,0.022,0.018,direct contact,direct contact
0.142,0.018,0.584,0.256,respiratory,respiratory
0.282,0.564,0.074,0.08,faecal-oral,faecal-oral
0.276,0.09,0.152,0.482,vector,vector
0.016,0.016,0.018,0.95,vector,vector
0.798,0.104,0.03,0.068,direct contact,direct contact
0.024,0.026,0.018,0.932,vector,vector
0.586,0.036,0.134,0.244,vector,direct contact
0.214,0.56,0.06,0.166,faecal-oral,faecal-oral
0.016,0.012,0.0,0.972,vector,vector
0.23,0.188,0.124,0.458,vector,vector
0.412,0.166,0.214,0.208,faecal-oral,direct contact
0.712,0.158,0.038,0.092,direct contact,direct contact
0.456,0.044,0.358,0.142,respiratory,direct contact
0.664,0.09,0.122,0.124,direct contact,direct contact
0.264,0.192,0.102,0.442,respiratory,vector
0.892,0.02,0.054,0.034,direct contact,direct contact
0.312,0.056,0.274,0.358,vector,vector
0.246,0.194,0.194,0.366,direct contact,vector
0.022,0.0,0.01,0.968,vector,vector
0.334,0.062,0.178,0.426,vector,vector
0.09,0.03,0.584,0.296,respiratory,respiratory
0.736,0.086,0.058,0.12,direct contact,direct contact
0.004,0.0,0.012,0.984,vector,vector
0.48,0.06,0.164,0.296,vector,direct contact
0.016,0.004,0.006,0.974,vector,vector
0.164,0.518,0.148,0.17,faecal-oral,faecal-oral
0.138,0.058,0.626,0.178,respiratory,respiratory
0.006,0.012,0.006,0.976,vector,vector
0.752,0.08,0.06,0.108,direct contact,direct contact
