prob_0,prob_1,prob_2,prob_3,taxid,true,pred
0.041928258,0.01573405,0.73143715,0.21090059,3052474,respiratory,respiratory
0.039035488,0.0032200355,0.02552959,0.93221486,11024,vector,vector
0.9398925,0.0040108366,0.005232531,0.050864186,38767,direct contact,direct contact
0.018732533,0.0025981124,0.0022678827,0.9764015,3046277,vector,vector
0.004253307,0.00517226,0.0041140104,0.98646045,2955935,direct contact,vector
0.08914234,0.038292706,0.04423508,0.8283298,28876,faecal-oral,vector
0.15796451,0.02071999,0.08139551,0.73991996,3048287,vector,vector
0.021289054,0.01605181,0.016278075,0.94638103,3052444,vector,vector
0.06462687,0.37842977,0.4127618,0.1441815,277944,respiratory,respiratory
0.033552438,0.0034850105,0.009081264,0.9538813,3048459,vector,vector
0.8558874,0.098923184,0.005217338,0.03997211,3051375,direct contact,direct contact
0.0100403605,0.006315649,0.0027835206,0.9808605,3048447,vector,vector
0.04287747,0.7996919,0.1133039,0.04412672,2003649,faecal-oral,faecal-oral
0.47891006,0.38033423,0.030162847,0.110592805,36427,faecal-oral,direct contact
0.019981813,0.012372524,0.023536146,0.94410944,3048440,vector,vector
0.0013590422,0.0011924211,0.0010555106,0.996393,3052396,vector,vector
0.63798153,0.3125933,0.012002137,0.037422985,138949,direct contact,direct contact
0.99015135,0.0031715874,0.0028801612,0.003796896,3052459,direct contact,direct contact
0.120150045,0.00864103,0.014355278,0.8568537,3052223,direct contact,vector
0.7324872,0.009472365,0.015787678,0.24225277,3052465,vector,direct contact
0.0019205794,0.0021919329,0.001431568,0.994456,11036,vector,vector
0.056356173,0.029483136,0.05851443,0.85564625,48543,vector,vector
0.06395723,0.0064965743,0.5132124,0.41633382,3052498,respiratory,respiratory
0.001757638,0.0011406234,0.00065087114,0.9964509,60876,vector,vector
0.36891073,0.0775527,0.35961705,0.19391954,3052440,vector,direct contact
0.013165458,0.031128114,0.014030752,0.94167566,2955465,direct contact,vector
0.51444936,0.12942287,0.03295098,0.3231768,147711,direct contact,direct contact
0.009498326,0.97022736,0.005616045,0.014658254,1330491,faecal-oral,faecal-oral
0.06730012,0.03459536,0.35028875,0.54781574,3052470,respiratory,vector
