prob_direct contact,prob_faecal-oral,prob_respiratory,prob_vector,taxid,true,pred
0.0,0.0,0.8773812683751935,0.12261873162480652,3052302,respiratory,respiratory
0.0,0.4100751756118685,0.0,0.5899248243881315,40057,vector,vector
0.7695341556918893,0.11452682177763861,0.0,0.11593902253047211,3052461,direct contact,direct contact
0.2791291853004093,0.2842135888878184,0.0,0.43665722581177235,11318,vector,vector
0.4683878724907126,0.13350869543194668,0.0,0.3981034320773406,338478,direct contact,direct contact
0.13127401087874202,0.6051170620636792,0.0,0.26360892705757893,1330491,faecal-oral,faecal-oral
0.14165077241584223,0.14184112068644764,0.0,0.7165081068977103,3052676,vector,vector
0.17962804443903166,0.0,0.0,0.8203719555609683,3048287,vector,vector
0.0,0.0,1.0,0.0,3052493,respiratory,respiratory
0.0,0.28131139807039546,0.0,0.7186886019296046,40053,vector,vector
0.145245014140995,0.14230682029720557,0.0,0.7124481655617996,11723,direct contact,vector
0.0,0.0,0.0,1.0,3048459,vector,vector
0.255882784962859,0.6160738352305861,0.0,0.12804337980655492,2003651,faecal-oral,faecal-oral
0.2804450474290035,0.3007275007668031,0.0,0.41882745180419345,1330524,faecal-oral,vector
0.0,0.0,0.0,1.0,3047395,vector,vector
0.0,0.0,0.0,1.0,48543,vector,vector
0.43946548232018884,0.27966245515688104,0.0,0.2808720625229301,3049952,direct contact,direct contact
0.2847645412201995,0.28493708127782374,0.0,0.43029837750197686,3048148,direct contact,vector
0.2505382797663612,0.0,0.0,0.7494617202336388,3048233,direct contact,vector
0.0,0.0,0.0,1.0,3052390,vector,vector
0.30929158235720133,0.0,0.0,0.6907084176427987,3052465,vector,vector
0.0,0.0,0.0,1.0,3048447,vector,vector
0.0,0.0,0.8680534471352702,0.1319465528647298,3052310,respiratory,respiratory
0.0,0.0,0.0,1.0,3052401,vector,vector
0.0,0.0,0.0,1.0,3052413,vector,vector
0.6016117016273841,0.265179764368942,0.0,0.1332085340036739,194443,direct contact,direct contact
0.7690179026762225,0.11428760494727949,0.0,0.116694492376498,3052458,direct contact,direct contact
0.2856105748706386,0.1431971774996329,0.0,0.5711922476297285,36427,faecal-oral,vector
0.0,0.0,1.0,0.0,1980456,respiratory,respiratory
