prob_direct contact,prob_faecal-oral,prob_respiratory,prob_vector,taxid,true,pred
0.176,0.038,0.658,0.128,2169991,respiratory,respiratory
0.058,0.018,0.006,0.918,48543,vector,vector
0.53,0.042,0.05,0.378,2951619,direct contact,direct contact
0.05,0.03,0.008,0.912,11024,vector,vector
0.624,0.14,0.114,0.122,147712,direct contact,direct contact
0.34,0.388,0.072,0.2,72149,faecal-oral,faecal-oral
0.086,0.03,0.006,0.878,2083198,vector,vector
0.204,0.01,0.002,0.784,3048287,vector,vector
0.156,0.108,0.48,0.256,3052789,respiratory,respiratory
0.09,0.056,0.016,0.838,3052396,vector,vector
0.62,0.124,0.146,0.11,338478,direct contact,direct contact
0.064,0.038,0.008,0.89,59301,vector,vector
0.504,0.182,0.042,0.272,11983,faecal-oral,direct contact
0.27,0.418,0.132,0.18,1330491,faecal-oral,faecal-oral
0.166,0.104,0.164,0.566,3052428,vector,vector
0.11,0.074,0.026,0.79,40058,vector,vector
0.822,0.048,0.022,0.108,3052461,direct contact,direct contact
0.74,0.042,0.022,0.196,3052459,direct contact,direct contact
0.396,0.204,0.074,0.326,3052610,direct contact,direct contact
0.068,0.0,0.002,0.93,3052466,vector,vector
0.192,0.062,0.212,0.534,3052537,vector,vector
0.216,0.11,0.118,0.556,3052384,vector,vector
0.1,0.378,0.44,0.082,11137,respiratory,respiratory
0.296,0.12,0.054,0.53,1972578,vector,vector
0.114,0.02,0.002,0.864,3048360,vector,vector
0.492,0.062,0.052,0.394,11292,direct contact,direct contact
0.574,0.058,0.058,0.31,90961,direct contact,direct contact
0.198,0.118,0.032,0.652,351073,faecal-oral,vector
0.162,0.144,0.464,0.23,3052477,respiratory,respiratory
