prob_direct contact,prob_faecal-oral,prob_respiratory,prob_vector,taxid,true,pred
0.125,0.15,0.26,0.465,3052498,respiratory,vector
0.25,0.115,0.035,0.6,1972573,vector,vector
0.53,0.145,0.145,0.18,11676,direct contact,direct contact
0.135,0.03,0.11,0.725,3052444,vector,vector
0.43,0.22,0.095,0.255,138951,direct contact,direct contact
0.125,0.27,0.42,0.185,12092,faecal-oral,respiratory
0.165,0.065,0.025,0.745,332097,vector,vector
0.1,0.06,0.01,0.83,2083199,vector,vector
0.165,0.145,0.135,0.555,3048300,respiratory,vector
0.03,0.015,0.005,0.95,3052463,vector,vector
0.48,0.14,0.075,0.305,11709,direct contact,direct contact
0.135,0.1,0.095,0.67,1933191,vector,vector
0.23,0.495,0.135,0.14,2003651,faecal-oral,faecal-oral
0.515,0.185,0.095,0.205,95342,faecal-oral,direct contact
0.11,0.08,0.065,0.745,3047817,vector,vector
0.165,0.16,0.125,0.55,3052397,vector,vector
0.475,0.25,0.19,0.085,463676,direct contact,direct contact
0.25,0.345,0.045,0.36,35612,direct contact,vector
0.245,0.07,0.09,0.595,2955291,direct contact,vector
0.11,0.24,0.085,0.565,3052440,vector,vector
0.15,0.175,0.13,0.545,3052456,vector,vector
0.075,0.04,0.025,0.86,60875,vector,vector
0.115,0.05,0.535,0.3,3052503,respiratory,respiratory
0.1,0.02,0.02,0.86,37124,vector,vector
0.135,0.205,0.05,0.61,2748762,vector,vector
0.705,0.04,0.035,0.22,3051375,direct contact,direct contact
0.265,0.175,0.08,0.48,12110,direct contact,vector
0.26,0.47,0.08,0.19,1821750,faecal-oral,faecal-oral
0.155,0.11,0.425,0.31,3052789,respiratory,respiratory
