prob_direct contact,prob_faecal-oral,prob_respiratory,prob_vector,taxid,true,pred
0.37,0.145,0.185,0.3,1335626,respiratory,direct contact
0.145,0.05,0.085,0.72,3052464,vector,vector
0.285,0.17,0.165,0.38,338079,direct contact,vector
0.1,0.025,0.055,0.82,11029,vector,vector
0.525,0.16,0.11,0.205,138951,direct contact,direct contact
0.335,0.135,0.105,0.425,1348384,faecal-oral,vector
0.29,0.13,0.115,0.465,77763,vector,vector
0.33,0.115,0.075,0.48,1972573,vector,vector
0.14,0.08,0.65,0.13,3052489,respiratory,respiratory
0.285,0.125,0.08,0.51,204269,vector,vector
0.305,0.15,0.15,0.395,11676,direct contact,vector
0.08,0.02,0.01,0.89,60875,vector,vector
0.26,0.4,0.12,0.22,2003651,faecal-oral,faecal-oral
0.37,0.215,0.135,0.28,72149,faecal-oral,direct contact
0.16,0.06,0.105,0.675,59300,vector,vector
0.205,0.085,0.085,0.625,1972577,vector,vector
0.39,0.1,0.14,0.37,3052560,direct contact,direct contact
0.31,0.45,0.075,0.165,12475,direct contact,faecal-oral
0.755,0.065,0.045,0.135,90961,direct contact,direct contact
0.51,0.055,0.05,0.385,3052465,vector,direct contact
0.275,0.095,0.155,0.475,3052537,vector,vector
0.215,0.085,0.11,0.59,3052456,vector,vector
0.225,0.075,0.545,0.155,3052299,respiratory,respiratory
0.1,0.03,0.045,0.825,3048443,vector,vector
0.125,0.09,0.1,0.685,11024,vector,vector
0.34,0.1,0.19,0.37,3049953,direct contact,vector
0.335,0.16,0.13,0.375,1897087,direct contact,vector
0.275,0.14,0.13,0.455,28876,faecal-oral,vector
0.3,0.23,0.105,0.365,2846071,respiratory,vector
