prob_direct contact,prob_faecal-oral,prob_respiratory,prob_vector,taxid,true,pred
0.34,0.03,0.49,0.14,3052310,respiratory,respiratory
0.37,0.0,0.25,0.38,1933190,vector,vector
0.81,0.07,0.06,0.06,194440,direct contact,direct contact
0.04,0.02,0.09,0.85,3052431,vector,vector
0.78,0.02,0.09,0.11,90961,direct contact,direct contact
0.41,0.24,0.14,0.21,2003649,faecal-oral,direct contact
0.17,0.16,0.06,0.61,40058,vector,vector
0.32,0.19,0.15,0.34,204269,vector,vector
0.13,0.03,0.64,0.2,3052303,respiratory,respiratory
0.06,0.03,0.01,0.9,37124,vector,vector
0.17,0.7,0.04,0.09,35612,direct contact,faecal-oral
0.05,0.0,0.06,0.89,3052390,vector,vector
0.2,0.55,0.11,0.14,1348384,faecal-oral,faecal-oral
0.24,0.58,0.05,0.13,1239572,faecal-oral,faecal-oral
0.05,0.04,0.04,0.87,11020,vector,vector
0.04,0.04,0.05,0.87,11029,vector,vector
0.14,0.0,0.06,0.8,3048184,direct contact,vector
0.73,0.14,0.02,0.11,3052560,direct contact,direct contact
0.63,0.15,0.06,0.16,3049954,direct contact,direct contact
0.0,0.02,0.02,0.96,3048225,vector,vector
0.17,0.0,0.06,0.77,3048175,vector,vector
0.02,0.0,0.0,0.98,3048448,vector,vector
0.14,0.2,0.46,0.2,694003,respiratory,respiratory
0.05,0.03,0.09,0.83,11034,vector,vector
0.27,0.14,0.11,0.48,40053,vector,vector
0.78,0.06,0.09,0.07,194443,direct contact,direct contact
0.74,0.13,0.07,0.06,338478,direct contact,direct contact
0.14,0.67,0.05,0.14,1239570,faecal-oral,faecal-oral
0.09,0.04,0.69,0.18,3052489,respiratory,respiratory
