prob_0,prob_1,prob_2,prob_3,taxid,true,pred
0.23241135,0.058611054,0.66429484,0.04468279,3052317,respiratory,respiratory
0.31676328,0.082057565,0.03618533,0.5649938,1972577,vector,vector
0.9572813,0.026019052,0.005658753,0.011040918,3052560,direct contact,direct contact
0.010692162,0.0006389162,0.00059022056,0.98807865,59304,vector,vector
0.9935255,0.0017703408,0.0013753127,0.0033288295,3052460,direct contact,direct contact
0.80964303,0.16164684,0.013208408,0.015501665,95342,faecal-oral,direct contact
0.00625705,0.0007783119,0.00071899215,0.9922456,11034,vector,vector
0.02830076,0.023878027,0.5003909,0.44743034,3052428,vector,respiratory
0.006540348,0.0049707633,0.9855285,0.0029603632,3052299,respiratory,respiratory
0.03436262,0.015497136,0.00808343,0.94205683,1972576,vector,vector
0.96661794,0.012501743,0.0042264867,0.016653832,194440,direct contact,direct contact
0.004753998,0.0014070546,0.0012998144,0.9925391,3048170,vector,vector
0.05368677,0.290739,0.6070605,0.048513778,67605,faecal-oral,respiratory
0.63064116,0.35317588,0.009922476,0.006260489,2003649,faecal-oral,direct contact
0.0046219896,0.00059997314,0.00041813753,0.9943599,59302,vector,vector
0.48370883,0.018186763,0.47875023,0.019354224,3052676,vector,direct contact
0.977513,0.006719607,0.0021701255,0.0135972295,11723,direct contact,direct contact
0.99584633,0.0009887087,0.0007818906,0.002383056,3052458,direct contact,direct contact
0.7375974,0.12550604,0.018561188,0.118335396,3052230,direct contact,direct contact
0.304042,0.10334644,0.2667449,0.3258666,1933190,vector,vector
0.01329536,0.003941919,0.002759338,0.98000336,48543,vector,vector
0.47182834,0.030192787,0.033148244,0.4648306,3048175,vector,direct contact
0.63239974,0.24402013,0.050341465,0.073238686,2846071,respiratory,direct contact
0.044967838,0.053053245,0.13328668,0.76869226,3052431,vector,vector
0.006598254,0.005370772,0.0009015132,0.9871294,40058,vector,vector
0.48967817,0.3113397,0.012292364,0.18668981,138950,direct contact,direct contact
0.98838913,0.004492658,0.0021280933,0.004990043,338478,direct contact,direct contact
0.02392048,0.8709484,0.09134638,0.013784762,1239572,faecal-oral,faecal-oral
0.1717884,0.14799018,0.6208941,0.059327386,3052302,respiratory,respiratory
