prob_0,prob_1,prob_2,prob_3,taxid,true,pred
0.017583568,0.0029280575,0.022440113,0.95704824,3052303,respiratory,vector
0.0032144613,0.0008901613,0.0010186229,0.9948768,3052463,vector,vector
0.8149601,0.0033779817,0.002386957,0.17927492,3052459,direct contact,direct contact
0.22591555,0.015918834,0.02765233,0.7305133,3048175,vector,vector
0.8869047,0.074789315,0.021150047,0.017155956,11642,direct contact,direct contact
0.09055088,0.7938516,0.06141869,0.054178778,1239572,faecal-oral,faecal-oral
0.23900355,0.01222894,0.68400687,0.06476062,3052676,vector,respiratory
0.00296852,0.0023355742,0.0011610056,0.9935349,2083199,vector,vector
0.06150284,0.15117748,0.7579785,0.029341202,3052302,respiratory,respiratory
0.017679472,0.0014613661,0.0013555017,0.97950363,3047375,vector,vector
0.9106361,0.004558466,0.079456925,0.005348457,3049954,direct contact,direct contact
0.0017361454,0.0010403951,0.0009721643,0.9962513,11021,vector,vector
0.040734086,0.92566127,0.009906175,0.023698434,2003650,faecal-oral,faecal-oral
0.015083832,0.85034573,0.014718685,0.11985178,1821750,faecal-oral,faecal-oral
0.008082022,0.0013905521,0.0026253338,0.98790216,3048443,vector,vector
0.002475937,0.0012866827,0.00045716114,0.9957802,11029,vector,vector
0.80703545,0.148283,0.018101672,0.02657991,3052560,direct contact,direct contact
0.8757709,0.0025985143,0.0051827915,0.116447784,3052225,direct contact,direct contact
0.955081,0.03485306,0.0020494433,0.008016498,338478,direct contact,direct contact
0.00158059,0.00055887696,0.000563494,0.997297,3048168,vector,vector
0.17530994,0.022664992,0.68020886,0.12181617,3052537,vector,respiratory
0.0528591,0.0113907745,0.0027775732,0.93297255,11569,vector,vector
0.0058133868,0.005645651,0.9683071,0.020233864,1980456,respiratory,respiratory
0.003674376,0.004917684,0.0032524155,0.9881555,3052387,vector,vector
0.037157603,0.0009912138,0.0007231699,0.961128,59300,vector,vector
0.109930575,0.007862252,0.0047769244,0.87743026,2955935,direct contact,vector
0.93707013,0.0010281798,0.0010985701,0.060803067,3052462,direct contact,direct contact
0.48680595,0.3609149,0.13581116,0.016468044,1330524,faecal-oral,direct contact
0.021132968,0.009816647,0.94224715,0.026803164,3052496,respiratory,respiratory
